Monhts;Subscribers
Oct '15;6.50
Nov '15;0.00
Dec '15;0.00
Jan '16;10.00
Feb '16;11.00
Mar '16;12.00
Apr '16;13.00
May '16;14.00
Jun '16;15.00
"Jul ""16";0.00
Aug '16;16.00
Sep '16;17.00
Oct '16;0.00
Nov '16;0.00
Dec '16;20.00
Jan '17;0.00
Feb'17;0.00
Mar '17;0.00
Apr '17;0.00
May '17;0.00
Jun '17;27.00
Jul '17;0.00
Aug '17;0.00
Sep '17;30.00
Oct '17;0.00
Nov '17;0.00
Dec '17;0.00
Jan '18;0.00
Feb '18;0.00
Mar '18;38.00
Apr' 18;40.00
May '18;50.00
Jun '18;0.00
Jul '18;0.00
Aug '18;0.00
Sep '18;0.00
Oct '18;0.00
Nov '18;56.00
Dec '18;0.00
